Fake_news;id;uri;siglaTipo;numero;ano;codTipo;descricaoTipo;ementa;ementaDetalhada;keywords;dataApresentacao;uriOrgaoNumerador;uriPropAnterior;uriPropPrincipal;uriPropPosterior;urlInteiroTeor;urnFinal;ultimoStatus_dataHora;ultimoStatus_sequencia;ultimoStatus_uriRelator;ultimoStatus_idOrgao;ultimoStatus_siglaOrgao;ultimoStatus_uriOrgao;ultimoStatus_regime;ultimoStatus_descricaoTramitacao;ultimoStatus_idTipoTramitacao;ultimoStatus_descricaoSituacao;ultimoStatus_idSituacao;ultimoStatus_despacho;ultimoStatus_url;Fake_news;OBS
0;2263229;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2263229;PDL;406;2020;550;Projeto de Decreto Legislativo;Susta atos de efeitos executivos, oriundos do Poder Judiciário, que exorbitam o poder regulamentar, na forma do art. 49, V da Constituição Federal;NA;Sustação, Portaria, Supremo Tribunal Federal (STF), instauração, inquérito, investigação criminal, notícia falsa (fake news), ameaça, Ministro do Supremo Tribunal Federal.;2020-09-22T19:03:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;NA;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1931728;NA;2021-08-02T00:00:00Z;15;NA;NA;NA;NA;NA;Publicação de Proposição;604;NA;NA;Encaminhada à publicação. Publicação Inicial no DCD de 03/08/21 PAG 425;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2064525;0;NA
1;2267687;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2267687;PL;5587;2020;139;Projeto de Lei;Altera a Lei nº 4.737, de 15 de julho de 1965, que institui o Código Eleitoral, para incluir causa de aumento de pena nos crimes de calúnia, injúria e difamação eleitorais, quando praticados com abrangência difusa ou coletiva, como rádio, televisão ou internet e ou em virtude de violência política contra a mulher.;NA;Alteração, Código Eleitoral (1965), crime eleitoral, aumento da pena, injúria, calúnia, difamação,  Propaganda eleitoral, Internet, Rede social digital, Mídia, Violência política contra a mulher.;2020-12-18T09:58:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2219883;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1954272;NA;2021-03-18T16:57:00Z;15;NA;2003;CCJC;https://dadosabertos.camara.leg.br/api/v2/orgaos/2003;Prioridade (Art. 151, II, RICD);Recebimento;500;Tramitando em Conjunto;925;Recebimento pela CCJC.;NA;0;Art. 1º Esta Lei altera a Lei nº 4.737, de 15 de julho de 1965, que institui o Código Eleitoral, para incluir causa de aumento de pena nos crimes de calúnia, injúria e difamação eleitorais, quando praticados com abrangência difusa ou coletiva, como rádio, televisão ou internet e ou em virtude de violência política contra a mulher.
0;2268788;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2268788;PL;123;2021;139;Projeto de Lei;Altera a Lei nº 9.504, de 30 de setembro de 1997, para criar um sistema de avaliação das entidades e empresas que realizam pesquisas de opinião pública relativas às eleições ou aos candidatos e dá outras providências.;NA;Alteração, Lei das Eleições (1997), Pesquisa eleitoral, Eleições, candidato a cargo eletivo, assinatura, dados, Estatístico, responsável técnico, Justiça Eleitoral, avaliação, classificação, metodologia, Instituto de pesquisa,  pesquisa de opinião.;2021-02-03T16:46:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2190073;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1959865;NA;2021-04-11T16:20:00Z;15;NA;2003;CCJC;https://dadosabertos.camara.leg.br/api/v2/orgaos/2003;Prioridade (Art. 151, II, RICD);Recebimento;500;Tramitando em Conjunto;925;Recebimento pela CCJC.;NA;0;NA
1;2269990;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269990;PL;388;2021;139;Projeto de Lei;Dá nova redação ao §2º do art. 266 do Decreto-Lei nº 2.848, de 7 de setembro de 1940 (Código Penal).;NA;Alteração, Código Penal, Crime contra a segurança dos meios de comunicação e transporte e outros serviços públicos, aumento da pena, Provedor de aplicações, internet, rede social, Provedor de aplicação de mensagem instantânea, interrupção, serviços, ausência, Autorização judicial.;2021-02-10T20:35:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2269848;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1962768;NA;2021-04-23T00:00:00Z;16;NA;186;CCP;https://dadosabertos.camara.leg.br/api/v2/orgaos/186;Prioridade (Art. 151, II, RICD);Publicação de Proposição;604;Tramitando em Conjunto;925;Encaminhada à publicação. Publicação Inicial em avulso e no DCD de 24/04/21 PÅÅG 284;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2011902;0;NA
1;2272112;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2272112;PL;730;2021;139;Projeto de Lei;Dispõe sobre a responsabilidade dos jornalistas.;NA;Compromisso, jornalista, apuração, divulgação, Verdade dos fatos. _ Responsabilidade civil, Responsabilidade penal, jornalista, divulgação, informação falsa. _ Alteração, Código Penal, Crime contra a honra, aumento da pena, jornalista, divulgação, informação falsa.;2021-03-04T14:33:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;NA;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1970600;NA;2021-06-10T00:00:00Z;17;NA;4;MESA;https://dadosabertos.camara.leg.br/api/v2/orgaos/4;Ordinária (Art. 151, III, RICD);Retirada pelo Autor;200;Retirado pelo Autor;950;Retirado o PL 728/2021, em face do deferimento do  Requerimento n. 1039/2021, nos termos do artigo 104, caput, c/c o art. 114, VII do RICD.;NA;0;Art. 2º O jornalista será civil e criminalmente responsável por toda a informação que divulgar, desde que seu trabalho não tenha sido alterado por terceiros, caso em que a responsabilidade pela alteração será de seu autor. Art. 3º O art. 141 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940 – Código Penal, passa a vigorar com a seguinte redação: “Art. 141. ...................................................................................... V – por jornalista, no exercício de sua profissão, pela divulgação, por qualquer meio, decorrentes de sua informação. ...........................................................................................(NR). “ Art. 4º O prejudicado poderá requerer ordem judicial específica para tornar liminarmente indisponível a informação falsa e determinar a pronta retratação pelo jornalista, pelos mesmos meios e com o mesmo destaque com que se deu a divulgação
1;2279649;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2279649;PL;1589;2021;139;Projeto de Lei;Altera as Leis nºs 13.709, de 14 de agosto de 2018, e 12.965, de 23 de abril de 2014, para vedar o compartilhamento de abusivo de dados pessoais e a discriminação de usuários na internet.;NA;Alteração, Lei Geral de Proteção de Dados Pessoais (LGPDP), proibição, prática abusiva, compartilhamento, dados pessoais, discriminação, usuário, internet _Alteração, Marco Civil da Internet, meios, moderação de conteúdo, motor de busca, rede social, serviços, mensagem privada, provedor de aplicações, internet.;2021-04-28T18:35:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2254496;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2000716;NA;2021-05-25T00:00:00Z;17;NA;186;CCP;https://dadosabertos.camara.leg.br/api/v2/orgaos/186;Prioridade (Art. 151, II, RICD);Publicação de Proposição;604;Tramitando em Conjunto;925;Encaminhada à publicação. Publicação Inicial em avulso e no DCD de 26/05/21 PAG 694;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2034863;0;NA
0;2285132;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2285132;SBT;2;0;255;Substitutivo;Institui a Política Nacional de Qualidade do Ar e cria o Sistema Nacional de Informações de Qualidade do Ar.;NA;NA;2021-05-28T13:40:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/2006;NA;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2180923;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2020254;NA;2021-05-28T13:40:00Z;1;NA;NA;NA;NA;NA;Apresentação de Proposição;100;NA;NA;Apresentação do Substitutivo n. 2 CDU, pelo Deputado José Ricardo (PT-AM).;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2020254;0;NA
1;2288847;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2288847;PL;2390;2021;139;Projeto de Lei;Acrescenta-se o inc. XIV ao art. 7 e §§1º, 2º e 3º ao art. 20 da Lei nº 12.965, de 23 de abril de 2014 – Marco Civil da Internet, que “garante o direito de atualização de conteúdo e informações ao usuário por provedores de aplicações de internet”.;NA;Alteração, Marco Civil da Internet, provedor de aplicação, internet, Provedor de aplicação de mensagem instantânea, Aplicativo Whatsapp, atualização, publicação, Usuário de serviços. _ Garantia, Reparação do dano, vítima, Notícia falsa (fake news).;2021-06-30T17:42:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;https://dadosabertos.camara.leg.br/api/v2/proposicoes/1672348;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2036493;NA;2021-07-07T00:00:00Z;14;NA;186;CCP;https://dadosabertos.camara.leg.br/api/v2/orgaos/186;Prioridade (Art. 151, II, RICD);Publicação de Proposição;604;Tramitando em Conjunto;925;Encaminhada à publicação. Publicação Inicial em avulso e no DCD de 08/07/21 PAG 716;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2057288;0;NA
1;2288858;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2288858;PL;2393;2021;139;Projeto de Lei;Altera o Marco Civil da Internet – Lei nº 12.965, de 23 de abril de 2014 – para promover a liberdade de expressão nas redes sociais, e proibir a exclusão de perfis de usuários sem decisão judicial, e dá outras providências.;NA;Alteração, Marco Civil da Internet, disciplinamento, direitos, usuário, rede social. _ Transparência, regulamento, empresa, rede social. _ Critério, procedimento, restrição, acesso, conteúdo digital, perfil de usuário, propagação, conteúdo ilegal, rede social. _ Exigência, autorização judicial, bloqueio, exclusão, conta de usuário, rede social.;2021-06-30T18:48:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2254496;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2036648;NA;2021-07-07T00:00:00Z;14;NA;186;CCP;https://dadosabertos.camara.leg.br/api/v2/orgaos/186;Prioridade (Art. 151, II, RICD);Publicação de Proposição;604;Tramitando em Conjunto;925;Encaminhada à publicação. Publicação Inicial em avulso e no DCD de 08/07/21 PAG 729;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2057291;0;NA
0;2289339;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2289339;RDF;1;0;197;Redação Final;"Institui o Estatuto da Pessoa com Câncer; e dá outras providências.";NA;NA;2021-06-30T00:00:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2194646;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2037991;NA;2021-06-30T00:00:00Z;1;NA;180;PLEN;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;Apresentação de Proposição;100;Aguardando Providências Internas;936;Apresentação da Redação Final n. 1 PLEN, pelo Deputado Igor Timo  (PODE/MG).;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2037993;0;NA
1;2297913;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2297913;EMP;88;0;870;Emenda de Plenário a Projeto com Urgência;Institui o Código Eleitoral.;NA;NA;2021-09-08T19:27:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2292163;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070326;NA;2021-09-08T19:48:25Z;2;NA;180;PLEN;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;Relatório de Conferência de Assinaturas;1042;Aguardando Providências Internas;936;Relatório de Conferência de Assinaturas Eletrônicas.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070329;0;NA
0;2297948;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2297948;EMP;111;0;870;Emenda de Plenário a Projeto com Urgência;Acrescenta inciso ao Art. 531 do Projeto de Novo Código Eleitoral para tornar a obrigatória a participação em debates dos candidatos à Presidência da República, nos termos deste Projeto;NA;NA;2021-09-09T09:36:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2292163;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070504;NA;2021-09-09T09:36:00Z;1;NA;180;PLEN;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;Apresentação de Proposição;100;Aguardando Providências Internas;936;Apresentação da Emenda de Plenário a Projeto com Urgência  n. 111 PLEN, pela Deputada Maria do Rosário  (PT/RS).;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070506;0;NA
1;2318267;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2318267;PL;630;2022;139;Projeto de Lei;Altera a Lei n. 12.965, de 23 de abril de 2014, para dispor sobre a necessidade de os provedores de redes sociais e de serviços de mensageria terem sede e representante legal radicado no país.;NA;Alteração, Marco Civil da Internet, Poder público, provedor de aplicações, Internet, combate, Notícia falsa (fake news). _  Provedor de aplicação de mensagem instantânea, rede social, representante legal, sede, Brasil, acesso remoto, banco de dados, informação, usuário, guarda, conteúdo digital, atendimento, Ordem judicial.;2022-03-18T11:45:00Z;https://dadosabertos.camara.leg.br/api/v2/orgaos/180;NA;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2316264;NA;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2150229;NA;2022-03-24T00:00:00Z;15;NA;NA;NA;NA;Ordinária (Art. 151, III, RICD);Publicação de Proposição;604;NA;NA;Encaminhada à publicação. Publicação Inicial em avulso e no DCD de 25/03/2022.;NA;0;NA
