id;uri;siglaTipo;numero;ano;ementa;urlInteiroTeor;Fake_news;OBS
595991;https://dadosabertos.camara.leg.br/api/v2/proposicoes/595991;PL;6550;2013;Institui o Programa Creche para Todos, autorizando os governos dos Estados, Municípios e Distrito Federal a firmarem convênios com instituições privadas de atendimento a crianças de 0 a 3 anos, para aquisição de vagas, objetivando o atendimento aos excedentes da rede pública, e dá outras providências.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1155382;;
2090560;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2090560;EMR;1;0;Altera a Lei nº 8.078, de 11 de setembro de 1990, para obrigar os fornecedores a informar o histórico de preços dos produtos e serviços ofertados em promoção.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1474763;;
2253576;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2253576;PL;2844;2020;Determina a aplicação de multas, suspensão de isenções fiscais e financiamentos por bancos públicos, além da proibição de contratação pelo Poder Público de pessoas jurídicas que propagam, estimulam ou anunciam, direta ou indiretamente, notícias falsas (Fake News) em veículos de comunicação.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1896983;;
2290388;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2290388;PL;2507;2021;Dispõe sobre a criação, o manejo e a exposição de aves domésticas de combate.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2042621;;
2263229;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2263229;PDL;406;2020;Susta atos de efeitos executivos, oriundos do Poder Judiciário, que exorbitam o poder regulamentar, na forma do art. 49, V da Constituição Federal;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1931728;;
2184846;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2184846;PL;10915;2018;Altera a Lei n° 4.737, de 15 de julho de 1965 (Código Eleitoral) para tipificar a divulgação por candidato de fatos sabidamente inverídicos (Fake News) no ano eleitoral e dá outras providências.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1688906;;
2174199;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2174199;PL;10178;2018;Insere parágrafo único no art. 338 da Lei 9.503, de 23 de setembro de 1997, que institui o Código de Trânsito Brasileiro, para obrigar a informação correta sobre volume de combustível no manual do veículo.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1657624;;
611086;https://dadosabertos.camara.leg.br/api/v2/proposicoes/611086;PL;7349;2014;"Acrescenta artigo à Lei nº 8.213, de 24 de julho de 1991, que ""Dispõe sobre os Planos de Benefício da Previdência Social e dá outras providências"", a fim de garantir o emprego do trabalhador com tuberculose desde o diagnóstico da doença até a sua cura.";http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1241409;;
2292317;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2292317;PL;2696;2021;Altera a Lei nº 8.212, de 24 de julho de 1991, para suprimir a obrigatoriedade do Beneficiário de comprovação de vida junto ao INSS.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2050696;;
2266301;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2266301;PL;5424;2020;Altera a Lei n. 9.504, de 30 de setembro de 1997, para tratar da divulgação de pesquisas eleitorais.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1947902;;
2258016;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2258016;PL;3873;2020;"Institui o prêmio ""Mérito Carlos Chagas"", de âmbito nacional, aos brasileiros pesquisadores, cientistas ou equivalentes e às instituições públicas brasileiras que desenvolverem ou participarem diretamente no desenvolvimento da primeira vacina ou medicamento que seja efetiva para a terapêutica do tratamento da COVID-19.";http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1914606;;
486344;https://dadosabertos.camara.leg.br/api/v2/proposicoes/486344;PL;7884;2010;Dispõe sobre a divulgação visual obrigatória nas academias de ginástica, centros ou clubes esportivos e outros estabelecimentos congêneres, sobre o uso inadequado de anabolizantes, e dá outras providências.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=816638;;
2284941;https://dadosabertos.camara.leg.br/api/v2/proposicoes/2284941;EMR;1;0;Altera a Lei n. 4.117, de 27 de agosto de 1962, para dispor sobre a transferência, comercialização e cessão do tempo de programação para a produção independente.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2019463;;
