id;siglaTipo;descricaoTipo;dataApresentacao;ano;ementa;urlInteiroTeor
121389;PL;Projeto de Lei;2003-06-25;2003;Acrescenta ao art. 55 da Lei nº 8.666 de 21 de junho de 1993, o parágrafo que discrimina.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=142904
2319329;EMP;Emenda de Plenário a Projeto com Urgência;2022-04-05;0;Emenda ao PL 2630/2020.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2155778
542822;PRC;Projeto de Resolução de Alteração do Regimento e outros;2012-04-25;2012;Altera a Resolução nº 25, de 2001, que instituiu o Código de Ética e Decoro Parlamentar da Câmara dos Deputados, para incluir dentre as condutas que atentam contra o decoro parlamentar, a contratação de empresas doadoras na campanha eleitoral pelo parlamentar beneficiado e acrescentar obrigação de o parlamentar apresentar lista de doadores de campanha.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=986245
1806242;SBT;Substitutivo;2015-10-01;0;Acrescenta inciso V ao art. 141 do Decreto-Lei nº 2.848, de 7 de dezembro de 1940.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1394145
2297797;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-08;0;Altera o inciso IV do Art. 369 do Projeto de Novo Código Eleitoral, para assegurar programas de promoção e difusão de participação política da população de mulheres, povos indígenas, negros e LGBTQIA+.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2069789
2319330;EMP;Emenda de Plenário a Projeto com Urgência;2022-04-05;0;Emenda ao PL 2630/2020.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2155782
2219333;PL;Projeto de Lei;2019-09-10;2019;Altera a Lei nº 12.965, de 23 de abril de 2014 (Marco Civil da Internet), para estabelecer mecanismo de verificação de identidade, por meio do CPF, para pessoas físicas, ou do CNPJ, para pessoas jurídicas, dos perfis ativos em aplicações de internet que atuem como redes sociais.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1804641
2297958;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-09;0;Institui o Código Eleitoral.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070538
2056226;EMR;Emenda de Relator;2015-11-24;0;;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1416703
2297535;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-02;0;Estabelece a participação obrigatória em debates de candidatos majoritários no período eleitoral.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2068725
2269422;PL;Projeto de Lei;2021-02-05;2021;Dispõe sobre a responsabilidade civil de provedores de aplicações de internet pela atividade de moderação, na forma de rotulagem de conteúdo que expresse a opinião de usuário, e assim caracterize exercício de liberdade fundamental.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1961002
2230688;PL;Projeto de Lei;2019-11-26;2019;Altera a Lei nº 12.232, de 29 de abril de 2010, para vedar a contratação de serviços de publicidade e propaganda pelos entes federados cujo montante da despesa autorizada em cada exercício financeiro seja superior ao total das receitas estimadas para o mesmo período;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1837560
2297807;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-08;0;Dispõe sobre as normas eleitorais e as normas processuais eleitorais brasileiras.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2069821
2297785;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-08;0;Dispõe sobre as normas eleitorais e as normas processuais eleitorais brasileiras.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2069753
1307134;PL;Projeto de Lei;2015-06-12;2015;Altera a Lei nº 12.232, de 29 de abril de 2010, que dispõe sobre normas de contratação pela administração pública de serviços de publicidade, com o intuito de limitar a realização de despesas com publicidade e propaganda dos órgãos públicos no âmbito da administração pública direta e indireta e dá outras providências.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1348256
18850;PL;Projeto de Lei;2000-05-03;2000;Altera o parágrafo 1º do art. 1º e art. 7º da Lei nº 5.250, de 9 de fevereiro de 1967, Lei de Imprensa.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=22711
2297536;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-02;0;Altera o PLP 112/2021.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2068728
478047;PL;Projeto de Lei;2010-05-19;2010;Normatiza a publicidade no âmbito da administração pública federal direta e indireta.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=770890
2254760;PL;Projeto de Lei;2020-06-08;2020;Dispõe sobre a transparência nos anúncios publicitários da Administração Direta, Empresas Públicas, Estatais, Autarquias, Fundações, Poder Legislativo, Poder Judiciário, Ministério Público, Defensoria Pública e Tribunal de Contas.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1901806
2319439;EMP;Emenda de Plenário a Projeto com Urgência;2022-04-06;0;Institui a Lei Brasileira de Liberdade, Responsabilidade e Transparência na Internet;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2156272
2238402;PL;Projeto de Lei;2020-03-04;2020;Altera a Lei nº 12.965, de 23 de abril de 2014, para dispor sobre o exercício da atividade jornalística na rede mundial de computadores.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1862539
2253673;PL;Projeto de Lei;2020-05-26;2020;Altera o Marco Civil da Internet -Lei nº 12.965, de  23 de abril de 2014, e a Lei do Sistema Brasileiro de Defesa da Concorrência -Lei nº. 12.529/2011.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1897472
2282377;PL;Projeto de Lei;2021-05-11;2021;Altera a Lei 12.965, de 23 de abril de 2014, e a Lei nº 13.709, de 14 de agosto de 2018, para permitir a portabilidade de seguidores para outros serviços e aplicativos de telecomunicações.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2008977
2297549;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-02;0;Altere-se o artigo 175 do Projeto de lei complementar n. 112 de 2021, passando a ter a seguinte redação;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2068839
2302644;AA;Autógrafo;2021-10-13;0;;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2088898
2297524;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-02;0;Institui o Código Eleitoral;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2068696
2297965;EMP;Emenda de Plenário a Projeto com Urgência;2021-09-09;0;Institui o Código Eleitoral.;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=2070556
21272;PL;Projeto de Lei;1990-12-12;1990;Cria , para efeito indicativo, o Certificado de Classificação, de diversões e espetáculos públicos e de programas de rádio e televisão e dá outras providências;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=15526
2269465;PL;Projeto de Lei;2021-02-05;2021;Modifica o Decreto-lei no 2.848, de 7 de dezembro de 1940 ( Código Penal) afim de tornar crime reproduzir, divulgar e propagar, com intenção de denegrir a imagem da pessoa, matéria sobre condenação em juízo, de pessoa já absolvida nas instancias superiores, no Poder Judiciário;http://www.camara.gov.br/proposicoesWeb/prop_mostrarintegra?codteor=1961110
